MODE #	RESOLUTION [px]	Resolution [chars]	Resolution [char]	NOTES
0	720 x 350	80 x 25	9 x 14	MDA / HGC Mode - default for TTY & SSH connections
1	640 x 480	80 x 30	8 x 16	default for local consoles
0	800 x 480	80 x 25	10 x 19	Widescreen Low Resolution
2	800 x 480	100 x 30	8 x 16	Widescreen High option
2	800 x 600	100 x 30	8 x 20	Terminal High Resolution
3	800 x 600	100 x 40	8 x 15	Terminal Highest Resolution
4	1024 x 600	128 x 30	8 x 20	Netbook High Resolution
5	1024 x 768	128 x 48	8 x 16	SVGA High Resolution
4	1280 x 720	128 x 30	10 x 24	720p High Resolution
6	1280 x 720	128 x 45	10 x 16	720p Higher Resolution
7	1366 x 768	80 x 32	17 x 24	768p Low Resolution
7	1600 x 768	80 x 32	20 x 24	P11Z Low Resolution
8	1600 x 768	100 x 32	16 x 24	P11Z Medium Resolution
9	1600 x 768	160 x 32	10 x 24	P11Z High Resolution
10	1600 x 768	200 x 48	8 x 16	P11Z Higher Resolution
1	1920 x 1080	80 x 30	24 x 36	1080p Lowest Resolution
11	1920 x 1080	80 x 40	24 x 27	1080p Low Resolution
12	1920 x 1080	96 x 36	20 x 30	1080p Medium Resolution
6	1920 x 1080	128 x 45	15 x 24	1080p High Resolution
13	1920 x 1080	192 x 54	10 x 20	1080p Higher Resolution
14	1920 x 1080	240 x 72	8 x 15	1080p Highest Resolution
15	- x - 	- x - 	- x -	Custom Mode [Configureable by the user]
